generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1787801945-OG8KzhkLrz8M3SOxujSj,2026-08-27 03:39:05.087,0,,,,0,0,0,0,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,,,449253,0,,,OpenRouter: Chatroom
gen-1787801680-nxqIYb7AStM4mZgEcALE,2026-08-27 03:34:40.256,0.269515,,-0.267909,,0,106765,16361,7982,104448,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,stop,stop,520492,1674,,,OpenRouter: Chatroom
gen-1787801179-IkFnpSd9nBSP3EvHljkK,2026-08-27 03:26:19.569,0.432952,,,,0,93558,11671,11668,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,tool_calls,tool_calls,498827,6058,,,OpenRouter: Chatroom
gen-1787801173-zT8yI7xDIZShtn3U8q9q,2026-08-27 03:26:13.491,0,,,,0,0,0,0,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,,,1015603,1,,,OpenRouter: Chatroom
gen-1787799416-9uTvdj19oCSWPVtKZF5Q,2026-08-27 02:56:56.114,0.500212,,,,0,93593,16384,18668,0,moonshotai/kimi-k3-20260715,DeepInfra,standard,false,true,,length,length,699350,34865,,,OpenRouter: Chatroom
gen-1787799411-xcWbEZMtvQnkbjvv2jCj,2026-08-27 02:56:51.306,0,,,,0,0,0,0,0,moonshotai/kimi-k3-20260715,DigitalOcean,standard,false,true,,,,664503,0,,,OpenRouter: Chatroom
gen-1787796409-0GRDrbfNIETMAeNpvEj0,2026-08-27 02:06:49.116,0.06577,0.007,-0.062717,,0,73807,8799,4644,49152,deepseek/deepseek-v4-pro-20260813,StreamLake,standard,false,true,,stop,stop,188625,3437,,,OpenRouter: Chatroom
gen-1787795939-eJu93Xp5w0Df34qOM7r5,2026-08-27 01:58:59.889,0.125788,,,,0,51031,20581,20519,0,deepseek/deepseek-v4-pro-20260813,StreamLake,standard,false,true,,tool_calls,tool_calls,466389,4302,,,OpenRouter: Chatroom
gen-1787795939-0lVJ4vPyyTmMdyj94LjL,2026-08-27 01:58:58.555,0,,,,0,0,0,0,0,deepseek/deepseek-v4-pro-20260813,StreamLake,standard,false,true,,,,653843,0,,,OpenRouter: Chatroom
gen-1787553390-EBIYIQcwR2F9IOugJHxZ,2026-08-24 06:36:30.069,0.000057,,,,0,193,8,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1140,810,false,Nexus-Key,Aider
gen-1787553389-DIEvC9IXBlxoR7MGae1x,2026-08-24 06:36:29.590,0.004306,,,,0,15363,342,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,12432,2241,false,Nexus-Key,Aider
gen-1787553386-wBwStvJXKOtH0JedpR46,2026-08-24 06:36:26.934,0.000394,,,,0,1466,17,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1907,1572,false,Nexus-Key,Aider
gen-1787553385-iUU22VeYHsunXgY4hUUD,2026-08-24 06:36:25.058,0.000056,,,,0,188,8,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1506,1248,false,Nexus-Key,Aider
gen-1787553361-5fOeAtoc3yAgfEySlJFn,2026-08-24 06:36:01.085,0.018745,,,,0,70143,671,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,23498,6721,false,Nexus-Key,Aider
gen-1787553234-C7zSJvXuRa3dO7ACsWu2,2026-08-24 06:33:54.588,0.000057,,,,0,192,8,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1509,1299,false,Nexus-Key,Aider
gen-1787553234-lERZsfz1lRrfYR4xhwfT,2026-08-24 06:33:54.208,0.00373,,,,0,13555,235,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,7088,1648,false,Nexus-Key,Aider
gen-1787553232-E9G4sDGM0TIKrMPISqB3,2026-08-24 06:33:52.033,0.000718,,,,0,2747,11,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1470,1449,false,Nexus-Key,Aider
gen-1787553229-BULwvUlV63LLICDaa1dL,2026-08-24 06:33:49.873,0.000056,,,,0,187,8,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1491,1186,false,Nexus-Key,Aider
gen-1787553211-JWUZQwndtp2OBteFlq3c,2026-08-24 06:33:31.416,0.018305,,,,0,69678,360,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,18132,8113,false,Nexus-Key,Aider
gen-1787553162-NpoHra6lRuOCiKmPMIZQ,2026-08-24 06:32:42.715,0.019232,,,,0,68913,1453,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,47547,5645,false,Nexus-Key,Aider
gen-1787553014-Ig2JAcYOphf191xdopsh,2026-08-24 06:30:14.665,0.000059,,,,0,191,10,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1566,1333,false,Nexus-Key,Aider
gen-1787553014-c4QUS5HRdFnVORc3tsey,2026-08-24 06:30:14.261,0.004771,,,,0,11093,257,0,0,deepseek/deepseek-chat-v3,Novita,standard,false,true,,stop,stop,9561,2190,false,Nexus-Key,Aider
gen-1787553011-xoah3pkaJEX79aEPunnT,2026-08-24 06:30:11.977,0.000396,,,,0,1476,16,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,1655,1426,false,Nexus-Key,Aider
gen-1787553004-cjvw4SJY4LJgs8pg2NP4,2026-08-24 06:30:04.229,0.000055,,,,0,186,7,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,2070,2064,false,Nexus-Key,Aider
gen-1787552979-A5ip1wLbr3Q3K2jBee1t,2026-08-24 06:29:39.546,0.018132,,,,0,67904,636,0,0,deepseek/deepseek-chat-v3,StreamLake,standard,false,true,,stop,stop,23764,7399,false,Nexus-Key,Aider
